SCREEN 05: WORLD REPORT — seed1327
=

You are forecasting outcomes for the **Italian Greek** civilization.
Read the world report below, then answer the questions on the following screens.

[EMBED: World report text + territory maps for seed1327]
[Source: human_subjects/worlds/seed1327/world_report/turn_060_report.txt]
[Maps: human_subjects/worlds/seed1327/world_report/turn_060_territory_maps/]

--- BEGIN WORLD REPORT ---

WORLD REPORT TXT v1
Game ID: seed1327
Snapshot turn: 60
Turns analyzed: 1..60
Map size: 78x52

CIVILIZATIONS
ID | Name          | Adjective     | Nation ID
---+---------------+---------------+----------
0  | Italian Greek | Italian Greek | 238      
1  | Illyrian      | Illyrian      | 225      
2  | Egyptian      | Egyptian      | 149      
3  | Numidian      | Numidian      | 361      
4  | Slavic        | Slavic        | 454      
5  | Pirate        | Pirate        | 559      
6  | Barbarian     | Barbarian     | 558      
7  | Roman         | Roman         | 407      
8  | Carthaginian  | Carthaginian  | 90       
9  | Liburnian     | Liburnian     | 280      

CURRENT STATE (TURN 60)
ID | Name          | Score | Rank | Government | Treasury | Population | Techs | Wonders | Cities | Territory | Units | Military | Science | Trade | Food | Shields
---+---------------+-------+------+------------+----------+------------+-------+---------+--------+-----------+-------+----------+---------+-------+------+--------
0  | Italian Greek | 39    | NA   | Despotism  | 544.0    | 22.0       | 9     | 1       | 14     | 178       | 4     | 0        | 60      | 22.0  | 44.0 | 31.0   
1  | Illyrian      | 44    | NA   | Despotism  | 404.0    | 1.0        | 11    | 0       | 1      | 28        | 0     | 0        | 60      | 30.0  | 60.0 | 36.0   
2  | Egyptian      | 42    | NA   | Despotism  | 343.0    | 0.0        | 10    | 0       | 0      | 0         | 0     | 0        | 60      | 35.0  | 70.0 | 41.0   
3  | Numidian      | -1    | NA   | Anarchy    | 0.0      | 0.0        | 9     | 0       | 0      | 0         | 0     | 0        | 60      | 39.0  | 78.0 | 33.0   
4  | Slavic        | -1    | NA   | Anarchy    | 0.0      | 3.0        | 10    | 0       | 2      | 43        | 0     | 0        | 80      | 35.0  | 70.0 | 29.0   
5  | Pirate        | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   
6  | Barbarian     | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   
7  | Roman         | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   
8  | Carthaginian  | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   
9  | Liburnian     | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   

GOVERNMENT TIMELINE (derived from recordings)
Each entry is a change point (turn number -> new government); the first entry is the first observed government.
0 Italian Greek: 1 Despotism
1 Illyrian: 1 Anarchy; 18 Despotism; 40 Anarchy; 52 Despotism
2 Egyptian: 1 Anarchy; 54 Despotism
3 Numidian: 1 Anarchy
4 Slavic: 1 Anarchy; 30 Despotism; 53 Anarchy
5 Pirate: NA (no changes observed)
6 Barbarian: NA (no changes observed)
7 Roman: NA (no changes observed)
8 Carthaginian: NA (no changes observed)
9 Liburnian: NA (no changes observed)

TREASURY (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
0 Italian Greek: 50.0, 100.0, 103.0, 108.0, 119.0, 136.0, 158.0, 233.0, 262.0, 297.0, 441.0, 488.0, 544.0
1 Illyrian: 0.0, 0.0, 0.0, 0.0, 93.0, 111.0, 226.0, 242.0, 0.0, 0.0, 0.0, 366.0, 404.0
2 Egyptian: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 313.0, 343.0
3 Numidian: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
4 Slavic: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 149.0, 182.0, 220.0, 261.0, 310.0, 0.0, 0.0
5 Pirate: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
6 Barbarian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7 Roman: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
8 Carthaginian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9 Liburnian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA

POPULATION (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
0 Italian Greek: 0.0, 2.0, 2.0, 3.0, 3.0, 6.0, 8.0, 8.0, 11.0, 13.0, 16.0, 20.0, 22.0
1 Illyrian: 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
2 Egyptian: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
3 Numidian: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
4 Slavic: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
5 Pirate: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
6 Barbarian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7 Roman: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
8 Carthaginian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9 Liburnian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA

TECHS KNOWN (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
0 Italian Greek: 1, 2, 2, 2, 3, 4, 4, 5, 5, 7, 7, 7, 9
1 Illyrian: 1, 1, 2, 2, 3, 4, 4, 5, 5, 6, 9, 10, 11
2 Egyptian: 1, 2, 2, 3, 4, 5, 5, 6, 6, 7, 8, 10, 10
3 Numidian: 1, 2, 3, 4, 4, 4, 5, 6, 6, 7, 8, 8, 9
4 Slavic: 1, 1, 1, 2, 3, 3, 4, 5, 6, 6, 7, 7, 10
5 Pirate: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
