SCREEN 05: WORLD REPORT — seed1525
=

You are forecasting outcomes for the **Maori** civilization.
Read the world report below, then answer the questions on the following screens.

[EMBED: World report text + territory maps for seed1525]
[Source: human_subjects/worlds/seed1525/world_report/turn_060_report.txt]
[Maps: human_subjects/worlds/seed1525/world_report/turn_060_territory_maps/]

--- BEGIN WORLD REPORT ---

WORLD REPORT TXT v1
Game ID: seed1525
Snapshot turn: 60
Turns analyzed: 1..60
Map size: 78x52

CIVILIZATIONS
ID | Name        | Adjective   | Nation ID
---+-------------+-------------+----------
0  | Maori       | Maori       | 307      
1  | Walloon     | Walloon     | 538      
2  | Rwandan     | Rwandan     | 412      
3  | Ukrainian   | Ukrainian   | 514      
4  | Palestinian | Palestinian | 377      
5  | Pirate      | Pirate      | 559      
6  | Barbarian   | Barbarian   | 558      
7  | New Zealand | New Zealand | 350      
8  | Israeli     | Israeli     | 235      
9  | Jordanian   | Jordanian   | 244      

CURRENT STATE (TURN 60)
ID | Name        | Score | Rank | Government | Treasury | Population | Techs | Wonders | Cities | Territory | Units | Military | Science | Trade | Food | Shields
---+-------------+-------+------+------------+----------+------------+-------+---------+--------+-----------+-------+----------+---------+-------+------+--------
0  | Maori       | 37    | NA   | Despotism  | 224.0    | 20.0       | 9     | 1       | 11     | 175       | 11    | 9        | 60      | 20.0  | 40.0 | 35.0   
1  | Walloon     | -1    | NA   | Anarchy    | 0.0      | 0.0        | 9     | 0       | 0      | 0         | 0     | 0        | 60      | 34.0  | 68.0 | 52.0   
2  | Rwandan     | 32    | NA   | Despotism  | 273.0    | 1.0        | 8     | 0       | 1      | 23        | 0     | 0        | 60      | 29.0  | 58.0 | 35.0   
3  | Ukrainian   | 44    | NA   | Despotism  | 279.0    | 0.0        | 11    | 0       | 0      | 0         | 1     | 1        | 60      | 41.0  | 82.0 | 40.0   
4  | Palestinian | -1    | NA   | Anarchy    | 0.0      | 0.0        | 10    | 0       | 0      | 0         | 0     | 0        | 60      | 44.0  | 88.0 | 44.0   
5  | Pirate      | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   
6  | Barbarian   | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   
7  | New Zealand | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   
8  | Israeli     | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   
9  | Jordanian   | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   

GOVERNMENT TIMELINE (derived from recordings)
Each entry is a change point (turn number -> new government); the first entry is the first observed government.
0 Maori: 1 Despotism
1 Walloon: 1 Anarchy
2 Rwandan: 1 Anarchy; 9 Despotism; 30 Anarchy; 45 Despotism
3 Ukrainian: 1 Anarchy; 28 Despotism
4 Palestinian: 1 Anarchy
5 Pirate: NA (no changes observed)
6 Barbarian: NA (no changes observed)
7 New Zealand: NA (no changes observed)
8 Israeli: NA (no changes observed)
9 Jordanian: NA (no changes observed)

TREASURY (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
0 Maori: 50.0, 55.0, 65.0, 75.0, 85.0, 100.0, 120.0, 140.0, 160.0, 182.0, 209.0, 219.0, 224.0
1 Walloon: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2 Rwandan: 0.0, 0.0, 61.0, 71.0, 80.0, 95.0, 0.0, 0.0, 0.0, 194.0, 219.0, 244.0, 273.0
3 Ukrainian: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 176.0, 192.0, 204.0, 219.0, 230.0, 247.0, 279.0
4 Palestinian: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
5 Pirate: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
6 Barbarian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7 New Zealand: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
8 Israeli: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9 Jordanian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA

POPULATION (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
0 Maori: 0.0, 2.0, 3.0, 5.0, 4.0, 6.0, 8.0, 11.0, 11.0, 14.0, 18.0, 19.0, 20.0
1 Walloon: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2 Rwandan: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0
3 Ukrainian: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
4 Palestinian: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
5 Pirate: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
6 Barbarian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7 New Zealand: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
8 Israeli: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9 Jordanian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA

TECHS KNOWN (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
0 Maori: 1, 1, 1, 2, 3, 4, 5, 6, 6, 7, 8, 8, 9
1 Walloon: 1, 1, 1, 1, 2, 3, 4, 4, 6, 7, 7, 8, 9
2 Rwandan: 1, 1, 1, 1, 2, 3, 3, 4, 5, 6, 7, 8, 8
3 Ukrainian: 1, 1, 1, 3, 4, 5, 6, 7, 7, 8, 9, 9, 11
4 Palestinian: 1, 1, 1, 2, 3, 4, 5, 5, 5, 6, 8, 9, 10
5 Pirate: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
